label,team_school_ncaa,team_seed,opp_school_ncaa,opp_seed
,North Carolina,1,Gonzaga,1
,North Carolina,1,Duke,1
,North Carolina,1,Virginia,1
,North Carolina,1,Kentucky,2
,North Carolina,1,Michigan St.,2
,North Carolina,1,Tennessee,2
,North Carolina,1,Michigan,2
,North Carolina,1,Houston,3
,North Carolina,1,LSU,3
,North Carolina,1,Purdue,3
,North Carolina,1,Texas Tech,3
,North Carolina,1,Virginia Tech,4
,North Carolina,1,Kansas,4
,North Carolina,1,Florida St.,4
,North Carolina,1,Kansas St.,4
,North Carolina,1,Auburn,5
,North Carolina,1,Wisconsin,5
,North Carolina,1,Mississippi St.,5
,North Carolina,1,Marquette,5
,North Carolina,1,Iowa St.,6
,North Carolina,1,Buffalo,6
,North Carolina,1,Villanova,6
,North Carolina,1,Maryland,6
,North Carolina,1,Wofford,7
,North Carolina,1,Nevada,7
,North Carolina,1,Cincinnati,7
,North Carolina,1,Louisville,7
,North Carolina,1,Ole Miss,8
,North Carolina,1,Syracuse,8
,North Carolina,1,Utah St.,8
,North Carolina,1,VCU,8
,North Carolina,1,Baylor,9
,North Carolina,1,Oklahoma,9
,North Carolina,1,UCF,9
,North Carolina,1,Washington,9
,North Carolina,1,Iowa,10
,North Carolina,1,Seton Hall,10
,North Carolina,1,Minnesota,10
,North Carolina,1,Florida,10
,North Carolina,1,Arizona St.,11
,North Carolina,1,St. John's (NY),11
,North Carolina,1,Ohio St.,11
,North Carolina,1,Belmont,11
,North Carolina,1,Saint Mary's (CA),11
,North Carolina,1,Temple,11
,North Carolina,1,Oregon,12
,North Carolina,1,Murray St.,12
,North Carolina,1,New Mexico St.,12
,North Carolina,1,Liberty,12
,North Carolina,1,Saint Louis,13
,North Carolina,1,UC Irvine,13
,North Carolina,1,Vermont,13
,North Carolina,1,Northeastern,13
,North Carolina,1,Northern Ky.,14
,North Carolina,1,Georgia St.,14
,North Carolina,1,Yale,14
,North Carolina,1,Old Dominion,14
,North Carolina,1,Abilene Christian,15
,North Carolina,1,Colgate,15
,North Carolina,1,Bradley,15
,North Carolina,1,Montana,15
,North Carolina,1,Fairleigh Dickinson,16
,North Carolina,1,N.C. Central,16
,North Carolina,1,Gardner-Webb,16
,North Carolina,1,Prairie View,16
,North Carolina,1,North Dakota St.,16
,North Carolina,1,Iona,16
,Gonzaga,1,North Carolina,1
,Gonzaga,1,Duke,1
,Gonzaga,1,Virginia,1
,Gonzaga,1,Kentucky,2
,Gonzaga,1,Michigan St.,2
,Gonzaga,1,Tennessee,2
,Gonzaga,1,Michigan,2
,Gonzaga,1,Houston,3
,Gonzaga,1,LSU,3
,Gonzaga,1,Purdue,3
,Gonzaga,1,Texas Tech,3
,Gonzaga,1,Virginia Tech,4
,Gonzaga,1,Kansas,4
,Gonzaga,1,Florida St.,4
,Gonzaga,1,Kansas St.,4
,Gonzaga,1,Auburn,5
,Gonzaga,1,Wisconsin,5
,Gonzaga,1,Mississippi St.,5
,Gonzaga,1,Marquette,5
,Gonzaga,1,Iowa St.,6
,Gonzaga,1,Buffalo,6
,Gonzaga,1,Villanova,6
,Gonzaga,1,Maryland,6
,Gonzaga,1,Wofford,7
,Gonzaga,1,Nevada,7
,Gonzaga,1,Cincinnati,7
,Gonzaga,1,Louisville,7
,Gonzaga,1,Ole Miss,8
,Gonzaga,1,Syracuse,8
,Gonzaga,1,Utah St.,8
,Gonzaga,1,VCU,8
,Gonzaga,1,Baylor,9
,Gonzaga,1,Oklahoma,9
,Gonzaga,1,UCF,9
,Gonzaga,1,Washington,9
,Gonzaga,1,Iowa,10
,Gonzaga,1,Seton Hall,10
,Gonzaga,1,Minnesota,10
,Gonzaga,1,Florida,10
,Gonzaga,1,Arizona St.,11
,Gonzaga,1,St. John's (NY),11
,Gonzaga,1,Ohio St.,11
,Gonzaga,1,Belmont,11
,Gonzaga,1,Saint Mary's (CA),11
,Gonzaga,1,Temple,11
,Gonzaga,1,Oregon,12
,Gonzaga,1,Murray St.,12
,Gonzaga,1,New Mexico St.,12
,Gonzaga,1,Liberty,12
,Gonzaga,1,Saint Louis,13
,Gonzaga,1,UC Irvine,13
,Gonzaga,1,Vermont,13
,Gonzaga,1,Northeastern,13
,Gonzaga,1,Northern Ky.,14
,Gonzaga,1,Georgia St.,14
,Gonzaga,1,Yale,14
,Gonzaga,1,Old Dominion,14
,Gonzaga,1,Abilene Christian,15
,Gonzaga,1,Colgate,15
,Gonzaga,1,Bradley,15
,Gonzaga,1,Montana,15
,Gonzaga,1,Fairleigh Dickinson,16
,Gonzaga,1,N.C. Central,16
,Gonzaga,1,Gardner-Webb,16
,Gonzaga,1,Prairie View,16
,Gonzaga,1,North Dakota St.,16
,Gonzaga,1,Iona,16
,Duke,1,North Carolina,1
,Duke,1,Gonzaga,1
,Duke,1,Virginia,1
,Duke,1,Kentucky,2
,Duke,1,Michigan St.,2
,Duke,1,Tennessee,2
,Duke,1,Michigan,2
,Duke,1,Houston,3
,Duke,1,LSU,3
,Duke,1,Purdue,3
,Duke,1,Texas Tech,3
,Duke,1,Virginia Tech,4
,Duke,1,Kansas,4
,Duke,1,Florida St.,4
,Duke,1,Kansas St.,4
,Duke,1,Auburn,5
