predicted_label,predicted_label_probs,season,label,seed,school_ncaa,pace_rank,poss_40min,pace_rating,efficiency_rank,pts_100poss,efficiency_rating,opponent_seed,opponent_school_ncaa,opp_pace_rank,opp_poss_40min,opp_pace_rating,opp_efficiency_rank,opp_pts_100poss,opp_efficiency_rating,pace_rank_diff,pace_stat_diff,pace_rating_diff,eff_rank_diff,eff_stat_diff,eff_rating_diff
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.9421928282490506""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.057807171750949404""
  }]
}",2018,loss,01,Virginia,353.0,62.151,0.287,1.0,35.608,99.842,16,UMBC,315.0,66.845,13.274,201.0,-3.461,38.709,-38.0,4.6939999999999955,12.986999999999998,200.0,-39.068999999999996,-61.132999999999996
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.45414473597882205""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.545855264021178""
  }]
}",2018,win,01,Kansas,73.0,71.993,75.655,18.0,20.789,95.759,02,Duke,11.0,75.704,97.719,2.0,34.67,99.797,-62.0,3.7109999999999985,22.063999999999993,-16.0,13.881,4.0379999999999967
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.58356172959450436""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.41643827040549564""
  }]
}",2018,loss,02,Duke,11.0,75.704,97.719,2.0,34.67,99.797,01,Kansas,73.0,71.993,75.655,18.0,20.789,95.759,62.0,-3.7109999999999985,-22.063999999999993,16.0,-13.881,-4.0379999999999967
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.7629633629079654""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.2370366370920346""
  }]
}",2018,loss,02,North Carolina,5.0,77.468,99.559,8.0,25.137,98.141,07,Texas A&M,144.0,70.358,54.811,138.0,2.973,59.734,139.0,-7.1099999999999994,-44.748,130.0,-22.164,-38.407000000000004
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.560235527256823""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.439764472743177""
  }]
}",2018,loss,02,Purdue,273.0,68.049,24.497,9.0,24.791,98.007,03,Texas Tech,254.0,68.334,27.752,15.0,22.362,96.811,-19.0,0.28499999999999659,3.254999999999999,6.0,-2.429000000000002,-1.195999999999998
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.62785593344444457""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.37214406655555543""
  }]
}",2018,loss,02,Cincinnati,339.0,65.758,6.744,21.0,20.138,95.248,07,Nevada,112.0,71.026,63.882,17.0,21.342,96.157,-227.0,5.2680000000000007,57.138,-4.0,1.2039999999999971,0.90899999999999181
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.62702251637724726""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.37297748362275274""
  }]
}",2018,loss,03,Michigan St.,113.0,70.995,63.472,3.0,33.39,99.718,11,Syracuse,247.0,68.505,29.796,39.0,15.947,90.691,134.0,-2.4900000000000091,-33.676,36.0,-17.443,-9.027000000000001
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.7711819549763701""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.2288180450236299""
  }]
}",2018,loss,03,Tennessee,175.0,69.701,45.625,5.0,27.048,98.753,11,Loyola Chicago,342.0,65.586,5.989,127.0,4.186,63.57,167.0,-4.1149999999999949,-39.636,122.0,-22.862,-35.183
loss,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.49399235810331787""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.50600764189668213""
  }]
}",2018,win,03,Texas Tech,254.0,68.334,27.752,15.0,22.362,96.811,02,Purdue,273.0,68.049,24.497,9.0,24.791,98.007,19.0,-0.28499999999999659,-3.254999999999999,-6.0,2.429000000000002,1.195999999999998
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.54218932982472767""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.45781067017527233""
  }]
}",2018,loss,03,Texas Tech,254.0,68.334,27.752,15.0,22.362,96.811,01,Villanova,328.0,66.122,8.575,30.0,17.431,92.577,74.0,-2.2120000000000033,-19.177,15.0,-4.9309999999999974,-4.2340000000000089
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.63124159532364466""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.36875840467635534""
  }]
}",2018,loss,04,Gonzaga,46.0,73.101,86.087,4.0,31.264,99.523,09,Florida St.,97.0,71.359,68.172,37.0,16.61,91.574,51.0,-1.7420000000000044,-17.915000000000006,33.0,-14.654,-7.9489999999999981
win,"{
  ""predicted_label_probs"": [{
    ""label"": ""win"",
    ""prob"": ""0.57105716255603556""
  }, {
    ""label"": ""loss"",
    ""prob"": ""0.42894283744396444""
  }]
}",2018,loss,04,Auburn,100.0,71.275,67.107,16.0,22.148,96.682,05,Clemson,243.0,68.541,30.24,53.0,13.157,86.23,143.0,-2.7340000000000089,-36.867000000000004,37.0,-8.991,-10.451999999999998
